,企业名称,被投资企业名称,投资比例
1,西安东风仪表厂,中船重工西安能源科技有限公司,55%
2,西安东风仪表厂,中船重工西安东仪新能源有限责任公司,100%
3,西安东风仪表厂,西安天虹电气有限公司,100%
4,西安东风仪表厂,中船重工（西安）东仪精密测量科技有限公司,100%
5,西安东风仪表厂,中船重工（西安）东仪环保科技有限公司,64%
6,西安东风仪表厂,西安东仪海博机电科技有限责任公司,66.66667%
7,西安东风仪表厂,中船重工西安东仪实业发展有限责任公司,100%
8,西安东风仪表厂,西安船舶工程研究院有限公司,16.36661%
9,西安东风仪表厂,西安海科重工投资有限公司,7.21026%
10,西安东风仪表厂,深圳恳达电气设备有限公司,15%
0,西安中扬电气股份有限公司,西安中扬殷图电气设备有限责任公司,51%
0,西安京西双鹤药业有限公司,西安京西双鹤医药贸易有限公司,100%
0,西安仁仁药业有限公司,庆阳仁仁生物医药研发有限公司,100%
1,西安仁仁药业有限公司,庆阳正洋田园度假酒店有限公司,100%
0,西安市优立电子化工有限公司,广州玖迈新材料科技有限公司,100%
1,西安市优立电子化工有限公司,青海优硼新材料有限公司,100%
0,西安利君制药有限公司,西安利君云商进出口有限公司,100%
1,西安利君制药有限公司,西安利君医药经销有限公司,73.33333%
2,西安利君制药有限公司,西安利君大药店有限责任公司,98%
3,西安利君制药有限公司,西安利君健康置业有限公司,100%
4,西安利君制药有限公司,西安利君医药原料研发有限责任公司,70%
5,西安利君制药有限公司,西安利君健康城房地产开发有限公司,100%
6,西安利君制药有限公司,西安利君销售有限责任公司,100%
7,西安利君制药有限公司,西安利君国际贸易有限公司,90%
8,西安利君制药有限公司,陕西利君未来健康生物科技有限责任公司,80%
9,西安利君制药有限公司,西安利君生物制药有限责任公司,100%
10,西安利君制药有限公司,西安利君制药合肥医药有限公司,60%
11,西安利君制药有限公司,湖南利君医药销售有限公司,60%
12,西安利君制药有限公司,西安利君天地置业有限公司,45%
13,西安利君制药有限公司,西安利君新药研发有限责任公司,70%
14,西安利君制药有限公司,榆林利君制药有限公司,51%
0,西安利君精华药业有限公司,西安利君精华生物科技有限公司,5%
1,西安利君精华药业有限公司,四川利君精华健康管理有限公司,5%
0,西安北村精密机械有限公司,西安高科睿泓投资合伙企业（有限合伙）,-
0,西安千禾药业有限公司,陕西千禾易道科技有限公司,100%
1,西安千禾药业有限公司,西安千禾易生医药有限公司,100%
0,西安华欧精密机械有限公司,西安西玛阿达电机有限公司,100%
0,西安华科光电有限公司,西安华科沣京表面处理有限公司,90%
1,西安华科光电有限公司,西安华科航空技术有限公司,72%
2,西安华科光电有限公司,陕西华岳凌空光电有限公司,100%
3,西安华科光电有限公司,西安华舜光电有限公司,100%
0,西安博大电炉有限公司,陕西弘博设备制造有限公司,100%
0,西安印钞厂,西安西正印制有限公司,100%
0,西安启源机电装备股份有限公司,启源（陕西）领先电子材料有限公司,40%
1,西安启源机电装备股份有限公司,启源（西安）大荣环保科技有限公司,48%
2,西安启源机电装备股份有限公司,中节能西安启源机电装备有限公司,100%
3,西安启源机电装备股份有限公司,中节能启源雷宇（江苏）电气科技有限公司,40%
4,西安启源机电装备股份有限公司,中节能兆盛环保有限公司,99.18033%
5,西安启源机电装备股份有限公司,中节能（唐山）环保装备有限公司,100%
6,西安启源机电装备股份有限公司,中节能智慧（北京）环保技术研究院有限公司,55%
7,西安启源机电装备股份有限公司,中节能（河南）检测技术有限公司,100%
8,西安启源机电装备股份有限公司,智慧神州天融（北京）监测技术有限公司,34%
0,西安国维淀粉有限公司,陕西国维淀粉有限责任公司,100%
0,西安大唐电信有限公司,西安大唐监控技术有限公司,7.21447%
0,西安太阳食品有限公司,西安太阳食品集团销售有限公司,100%
0,西安开米股份有限公司,陕西绿色日用化学工程技术研究中心有限责任公司,100%
1,西安开米股份有限公司,西安开米绿色科技有限公司,50%
2,西安开米股份有限公司,西安开米电子商务有限公司,99%
3,西安开米股份有限公司,西安开米绿色置业有限公司,100%
0,西安微电机研究所,西安伺服电机有限公司,49%
1,西安微电机研究所,上海镐玉新能源科技有限公司,15%
2,西安微电机研究所,西安西微智能科技有限公司,37%
3,西安微电机研究所,深圳市德西机电有限责任公司,22%
4,西安微电机研究所,西微检测（西安）有限公司,100%
0,西安市德懋恭食品商店,西安德懋恭现代食品工业有限公司,100%
0,西安探矿机械厂,西安探矿机械厂,100%
0,西安新意达建筑制品有限公司,陕西盛世达石建材科技有限公司,16%
0,西安方元能源工程有限公司,西安瑞舒祥物业服务有限公司,100%
1,西安方元能源工程有限公司,西安方元长兴石油科技有限公司,27.27273%
0,西安方舟包装工业有限公司,成都锦惠企业管理有限公司,3.22747%
0,西安日报社,西安报业传媒物业有限责任公司,100%
1,西安日报社,西安晚报传媒有限责任公司,100%
2,西安日报社,西安报业传媒集团融媒体发展有限公司,100%
3,西安日报社,西安全媒合作传媒发展有限公司,35%
4,西安日报社,西安报业主语文化传播有限公司,100%
0,西安昆鹏锻压科工贸有限公司,西安市雁塔区农村信用合作联社,-
1,西安昆鹏锻压科工贸有限公司,湖南昆鹏重装股份有限公司,-
0,西安标准工业股份有限公司,上海标准海菱缝制机械有限公司,54.99877%
1,西安标准工业股份有限公司,西安标准精密制造有限公司,90%
2,西安标准工业股份有限公司,标准缝纫机菀坪机械有限公司,89.99925%
3,西安标准工业股份有限公司,西安标准国际贸易有限公司,80%
4,西安标准工业股份有限公司,西安标准供应链管理有限公司,70%
5,西安标准工业股份有限公司,西安标准自动化科技有限公司,40%
0,西安汉港化工有限公司,西安市未央区农村信用合作联社,-
1,西安汉港化工有限公司,上海汉港化工科技有限公司,90%
0,西安海欣制药有限公司,陕西海欣药业科技有限公司,70.58824%
0,西安爱生技术集团公司,爱生无人机西咸新区发展有限公司,100%
1,西安爱生技术集团公司,西安爱生无人机技术有限公司,100%
2,西安爱生技术集团公司,爱生无人机试验测试靖边有限公司,100%
3,西安爱生技术集团公司,陕西海澜翱翔航空有限公司,30.76923%
0,西安电力机械厂,西安创源水处理工程有限责任公司,98.2%
1,西安电力机械厂,西安创源电力金具有限公司,100%
0,西安碑林药业股份有限公司,西安高陵阳光村镇银行有限责任公司,3.125%
1,西安碑林药业股份有限公司,西安汉源实业有限公司,100%
2,西安碑林药业股份有限公司,西安远大新碑林医药有限责任公司,100%
3,西安碑林药业股份有限公司,西安红金果农业技术有限公司,100%
4,西安碑林药业股份有限公司,西安远大碑林健康科技有限公司,100%
0,西安禾丰饲料科技有限公司,杨凌禾丰农牧有限公司,100%
1,西安禾丰饲料科技有限公司,正宁禾丰早胜牛饲料加工有限公司,12%
2,西安禾丰饲料科技有限公司,正宁禾丰早胜牛牧业有限公司,12%
3,西安禾丰饲料科技有限公司,西安临丰升益商贸有限公司,100%
4,西安禾丰饲料科技有限公司,西安吉丰数字智能有限公司,10%
0,西安第一印刷厂,西安大裕实业有限责任公司,22.93333%
1,西安第一印刷厂,西安一印集贤彩印有限责任公司,2.942%
2,西安第一印刷厂,西安西北记录纸有限公司,57.51864%
3,西安第一印刷厂,陕西西凤酒股份有限公司,0.88%
0,西安米旗食品有限公司,陕西唐食演义食品有限公司,100%
1,西安米旗食品有限公司,陕西米旗食品工业有限公司,100%
2,西安米旗食品有限公司,哈尔滨米旗食品有限责任公司,100%
3,西安米旗食品有限公司,北京金米旗食品有限责任公司,100%
4,西安米旗食品有限公司,辽宁米旗食品有限公司,100%
5,西安米旗食品有限公司,陕西赛拉维食品有限公司,100%
6,西安米旗食品有限公司,长春米旗食品有限责任公司,100%
7,西安米旗食品有限公司,四川米旗食品有限公司,100%
8,西安米旗食品有限公司,宁波米旗商贸有限公司,100%
0,西安市群众面粉厂,西华县华峰面粉有限责任公司,95%
1,西安市群众面粉厂,西安爱菊油脂有限公司,100%
2,西安市群众面粉厂,西安市华峰粮食仓库有限责任公司,100%
0,西安市肉类联合加工总厂,西安如春酒店有限公司,100%
1,西安市肉类联合加工总厂,西安市心连欣食品连锁有限公司,42.30769%
0,西安航空发动机（集团）有限公司,安庆西航机械设备制造有限公司,100%
1,西安航空发动机（集团）有限公司,通用环球西航医院（西安）有限公司,21.51706%
2,西安航空发动机（集团）有限公司,西部信托有限公司,0.18235%
3,西安航空发动机（集团）有限公司,广州银行股份有限公司,5.38501%
0,西安市董白面粉有限公司,西安市临潼区农村信用合作联社,-
1,西安市董白面粉有限公司,西安市临潼区春爱农业专业合作社,78.94737%
0,西安蓝港数字医疗科技股份有限公司,西安启迪儿童医院有限责任公司,9.14634%
0,西安市西无二电子信息集团有限公司,西安西交瑞力电气研究院有限公司,48%
0,西安西矿环保科技有限公司,武汉龙净环保科技有限公司,3.8%
1,西安西矿环保科技有限公司,西安贝雷钢桥制造有限公司,100%
2,西安西矿环保科技有限公司,西安神力起重运输机械有限公司,100%
3,西安西矿环保科技有限公司,西安中电能源环保有限公司,100%
4,西安西矿环保科技有限公司,西安龙净环保设备安装有限公司,90%
5,西安西矿环保科技有限公司,西安龙净环保工程有限公司,100%
6,西安西矿环保科技有限公司,吉林金钢钢铁股份有限公司,-
7,西安西矿环保科技有限公司,西安龙净环保科技有限公司,100%
8,西安西矿环保科技有限公司,水发（山东）环境工程有限公司,19%
0,西安市远征科技有限公司,西安远征自动化控制有限公司,100%
1,西安市远征科技有限公司,西安远征智能软件有限公司,85.7%
2,西安市远征科技有限公司,西安远征创业园有限公司,100%
3,西安市远征科技有限公司,西安煜苑物业管理有限公司,100%
0,西安远通铝业有限公司,西安福森实业发展有限责任公司,100%
1,西安远通铝业有限公司,西安众合飞扬实业有限公司,100%
0,西安通源石油科技股份有限公司,西安通源正合石油工程有限公司,100%
1,西安通源石油科技股份有限公司,大庆市永晨石油科技有限公司,100%
2,西安通源石油科技股份有限公司,北京大德广源石油技术服务有限公司,98.25%
3,西安通源石油科技股份有限公司,北京一龙恒业石油工程技术有限公司,28.98904%
4,西安通源石油科技股份有限公司,松原市胜源宏石油技术服务有限公司,16.49967%
5,西安通源石油科技股份有限公司,宝鸡通源石油钻采工具有限公司,18%
6,西安通源石油科技股份有限公司,宁波万融鼎信通源能源投资合伙企业（有限合伙）,18.65423%
7,西安通源石油科技股份有限公司,库车市通源众城碳业科技有限责任公司,90%
8,西安通源石油科技股份有限公司,西安华程石油技术服务有限公司,100%
9,西安通源石油科技股份有限公司,延安通源石油工程技术服务有限公司,12.52091%
0,西安市长安区自来水公司,西安市长安区秦沣供水有限公司,100%
1,西安市长安区自来水公司,西安航天基地供水服务有限公司,45%
2,西安市长安区自来水公司,西安市长安区子午水厂有限责任公司,40%
3,西安市长安区自来水公司,西安城乡水务沣泰供水有限公司,40%
4,西安市长安区自来水公司,西安市长安区清源水质检测有限责任公司,100%
0,西安长岭冰箱股份有限公司,陕西宝鸡长岭冰箱有限公司,63.02%
0,西安顶津食品有限公司,康师傅（西安）饮品有限公司,29.38144%
0,西安顶益食品有限公司,天津浩扬投资合伙企业（有限合伙）,9%
1,西安顶益食品有限公司,新疆顶益食品有限公司,75%
0,西安高科陕西金方药业公司,西安金方双吉生物医药科技有限公司,100%
0,西安高科（集团）公司,西安高科园林景观工程有限责任公司,100%
1,西安高科（集团）公司,西安紫薇地产开发有限公司,100%
2,西安高科（集团）公司,西安高新区市政配套建设有限公司,100%
3,西安高科（集团）公司,西安高新科学城建设开发有限公司,100%
4,西安高科（集团）公司,西安新纪元国际俱乐部有限公司,100%
5,西安高科（集团）公司,西安高新技术产业开发区房地产开发有限公司,100%
6,西安高科（集团）公司,西安西沃客车有限公司,100%
7,西安高科（集团）公司,西安高新城棚改有限公司,100%
8,西安高科（集团）公司,西安高新区热力有限公司,100%
9,西安高科（集团）公司,西安高新区乡村振兴发展有限公司,100%
10,西安高科（集团）公司,西安高科园林景观工程有限责任公司,100%
11,西安高科（集团）公司,西安高科集团高科房产有限责任公司,98.5%
12,西安高科（集团）公司,西安高科物流发展有限公司,98.73949%
13,西安高科（集团）公司,西安高科国际社区建设开发有限公司,100%
14,西安高科（集团）公司,西安高科集贤建设开发有限责任公司,100%
15,西安高科（集团）公司,西安高科软件新城建设开发有限公司,100%
16,西安高科（集团）公司,西安高新水务集团有限公司,100%
17,西安高科（集团）公司,西安高新区乡村振兴发展有限公司,100%
18,西安高科（集团）公司,西安高科建材科技有限公司,98.92683%
19,西安高科（集团）公司,西安高新区基础设施配套建设开发有限责任公司,58.05396%
20,西安高科（集团）公司,西安高科城市服务管理有限责任公司,91.93%
21,西安高科（集团）公司,西安高科实业股份有限公司,62.49793%
22,西安高科（集团）公司,西安高华电气实业有限公司,75%
23,西安高科（集团）公司,西安高新区保障房投资建设发展有限公司,59.41862%
24,西安高科（集团）公司,西安高科幕墙门窗有限公司,86.95652%
25,西安高科（集团）公司,西安高科新达混凝土有限责任公司,78.02364%
26,西安高科（集团）公司,大唐电信科技股份有限公司,0.6044%
27,西安高科（集团）公司,西安高新金融控股集团有限公司,6.09814%
28,西安高科（集团）公司,陕西建工高科建设投资有限公司,45%
29,西安高科（集团）公司,西安丝路国际金融创新中心有限公司,52.27458%
0,西安黑牛机械有限公司,青岛得利康包装机械有限公司,49%
0,西峡县灌河水泥有限公司,西峡县中联物流有限公司,100%
0,西德科东昌汽车座椅技术有限公司,西德科（安徽）汽车座椅有限公司,100%
0,西昌永盛实业有限公司,凉山州民用爆破器材有限责任公司,100%
1,西昌永盛实业有限公司,凉山州中小企业信用融资担保有限责任公司,0.2%
2,西昌永盛实业有限公司,西昌安泰民爆运输有限责任公司,100%
3,西昌永盛实业有限公司,凉山立安科爆有限责任公司,58%
4,西昌永盛实业有限公司,盐源县雷爆化工实业有限责任公司,58%
5,西昌永盛实业有限公司,甘孜州弘合民爆商务有限责任公司,1%
6,西昌永盛实业有限公司,凉山三江民爆有限责任公司,14%
7,西昌永盛实业有限公司,凉山龙腾爆破服务有限责任公司,22.542%
8,西昌永盛实业有限公司,凉山西昌永盛爆破工程有限责任公司,100%
0,西昌市生生调味品有限公司,西昌市生生商贸有限公司,100%
0,西林钢铁集团有限公司,西林钢铁集团伊春五星矿业有限公司,100%
1,西林钢铁集团有限公司,伊春嘉虹置业有限公司,100%
2,西林钢铁集团有限公司,伊春弘祥再生资源回收利用有限公司,100%
3,西林钢铁集团有限公司,西钢集团哈尔滨兴安金属制品有限公司,100%
4,西林钢铁集团有限公司,深圳市瑞安达实业有限公司,90%
5,西林钢铁集团有限公司,伊春市万联物流有限公司,20%
6,西林钢铁集团有限公司,伊春钢城港投资管理有限公司,50%
7,西林钢铁集团有限公司,逊克县翠宏山矿业有限公司,21%
0,西林钢铁集团阿城钢铁有限公司,黑龙江华明管业有限公司,90%
1,西林钢铁集团阿城钢铁有限公司,建龙黑龙江新材料科技有限公司,100%
0,西江服装后整理（嘉兴）有限公司,平湖市绿苗花木有限公司,100%
1,西江服装后整理（嘉兴）有限公司,平湖市虹霓废水处理有限公司,52.5%
2,西江服装后整理（嘉兴）有限公司,嘉兴西江新富服装后整理股份有限公司,60%
0,西湖电子集团有限公司,数源移动通信设备有限公司,55%
1,西湖电子集团有限公司,杭州西湖新能源科技有限公司,100%
2,西湖电子集团有限公司,杭州西湖数源软件园有限公司,100%
3,西湖电子集团有限公司,杭州云硕新能源技术有限公司,100%
4,西湖电子集团有限公司,杭州中兴景天房地产开发有限公司,40%
5,西湖电子集团有限公司,杭州景致房地产开发有限公司,40%
6,西湖电子集团有限公司,杭州西湖新能源投资有限公司,35%
7,西湖电子集团有限公司,杭州信息科技有限公司,100%
8,西湖电子集团有限公司,数源科技股份有限公司,29.49%
9,西湖电子集团有限公司,杭州数字西湖股权投资合伙企业（有限合伙）,90.75907%
10,西湖电子集团有限公司,华数数字电视传媒集团有限公司,9.1935%
11,西湖电子集团有限公司,国泰君安投资管理股份有限公司,0.57458%
12,西湖电子集团有限公司,华数数字电视投资有限公司,11.58257%
13,西湖电子集团有限公司,国泰君安证券股份有限公司,0.32548%
14,西湖电子集团有限公司,之江新实业有限公司,-
15,西湖电子集团有限公司,杭州城市大脑技术与服务有限公司,10%
16,西湖电子集团有限公司,杭州解百集团股份有限公司,0.15%
0,西藏矿业发展股份有限公司,天府商品交易所有限公司,7.14286%
1,西藏矿业发展股份有限公司,西藏日喀则扎布耶锂业高科技有限公司,50.72043%
2,西藏矿业发展股份有限公司,西藏阿里聂尔错硼业开发有限公司,50%
3,西藏矿业发展股份有限公司,白银扎布耶锂业有限公司,63.125%
4,西藏矿业发展股份有限公司,西藏吉庆实业开发有限公司,97.5%
5,西藏矿业发展股份有限公司,金川集团股份有限公司,0.14033%
0,西藏芝芝药业有限公司,西藏海容唐果健康产业有限公司,100%
1,西藏芝芝药业有限公司,西藏远鉴电子商务有限公司,70%
0,西藏高争建材股份有限公司,日喀则市高争商混有限责任公司,98.81834%
1,西藏高争建材股份有限公司,林芝市高争建材有限公司,100%
2,西藏高争建材股份有限公司,西藏高争建设有限责任公司,100%
3,西藏高争建材股份有限公司,西藏高争商品混凝土有限责任公司,90.41%
4,西藏高争建材股份有限公司,日喀则市高争水泥有限责任公司,67.2997%
5,西藏高争建材股份有限公司,西藏高争新型材料发展有限公司,51%
6,西藏高争建材股份有限公司,西藏阿里高争水泥有限公司,100%
7,西藏高争建材股份有限公司,西藏高争科技有限责任公司,51%
8,西藏高争建材股份有限公司,四川藏建置业有限公司,24%
0,西藏高原之宝牦牛乳业股份有限公司,甘肃玛曲高原之宝牦牛乳业有限公司,95%
1,西藏高原之宝牦牛乳业股份有限公司,阿坝县高原之宝牦牛乳业有限公司,95%
2,西藏高原之宝牦牛乳业股份有限公司,西藏高原之宝牦牛酸奶坊食品有限公司,70%
3,西藏高原之宝牦牛乳业股份有限公司,青海高原之宝牦牛乳业有限公司,76.73385%
4,西藏高原之宝牦牛乳业股份有限公司,若尔盖高原之宝牦牛乳营养食品股份有限公司,96.37975%
5,西藏高原之宝牦牛乳业股份有限公司,甘肃碌曲高原之宝牦牛乳业有限公司,95%
6,西藏高原之宝牦牛乳业股份有限公司,高原之宝（广东）销售有限公司,100%
7,西藏高原之宝牦牛乳业股份有限公司,甘肃高原之宝牦牛乳业有限公司,8.7156%
8,西藏高原之宝牦牛乳业股份有限公司,西藏高原之宝销售有限公司,18%
9,西藏高原之宝牦牛乳业股份有限公司,四川喜马拉雅牦牛生物科技集团有限公司,10%
0,西霞口集团有限公司,荣成市西霞口船业有限公司,12.86%
1,西霞口集团有限公司,山东西霞口修船有限责任公司,80.62%
